,interface,Time use(s),permissions,parmas_num,device_total_num,device_num,total_alerm_num,alerm_num
0,config_get,1.63,9楼配电室南,262,16,11,,
1,config_get,4.25,"9楼中心机房北侧,9楼配电室北,9楼配电室南",1094,87,57,,
2,config_get,11.99,"9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",11343,781,119,,
3,config_get,26.18,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",17324,1696,190,,
4,config_get,1.27,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",17324,1696,190,,
5,config_get,1.37,"9楼配电室南,9楼配电室北,9楼中心机房北侧,9楼中心机房南侧,10楼中心机房,10楼配电室北,10楼配电室南",17324,1696,190,,
6,config_get,1.17,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",17324,1696,190,,
7,offline_alarm_get,6.45,"9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,644,1
8,offline_alarm_get,5.71,"9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,644,100
9,offline_alarm_get,7.14,"9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,644,300
10,offline_alarm_get,7.42,"9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,644,500
11,offline_alarm_get,6.76,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,1026,1
12,offline_alarm_get,6.3,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,1026,100
13,offline_alarm_get,6.65,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,1026,300
14,offline_alarm_get,8.86,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",,,,1026,500
15,online_data_get,23,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",7952,1696,190,,
16,online_data_get,15.08,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",5004,1000,190,,
17,online_data_get,6.32,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",2475,500,190,,
18,online_data_get,0.21,"10楼中心机房,10楼配电室北,10楼配电室南,9楼中心机房北侧,9楼中心机房南侧,9楼配电室北,9楼配电室南",2,1,190,,
